ASN,Entity
1101,"SURFnet bv"
4134,"Chinanet"
4812,"China Telecom (Group)"
4837,"CHINA UNICOM China169 Backbone"
7497,"Computer Network Information Center"
8473,"Bahnhof AB"
9808,"Guangdong Mobile Communication Co.Ltd."
9811,"srit corp.,beijing."
17621,"China Unicom Shanghai network"
17974,"PT Telekomunikasi Indonesia"
18403,"The Corporation for Financing & Promoting Technology"
24432,"TM International Bangladesh Ltd."
36874,"Cybersmart"
56044,"China Mobile communications corporation"
197706,"Keminet SHPK"
