ASN,Entity
1101,"SURFnet bv"
4134,"Chinanet"
4812,"China Telecom (Group)"
4837,"CHINA UNICOM China169 Backbone"
7497,"Computer Network Information Center"
8151,"Uninet S.A. de C.V."
8473,"Bahnhof AB"
9808,"Guangdong Mobile Communication Co.Ltd."
9811,"srit corp.,beijing."
12389,"Rostelecom"
17621,"China Unicom Shanghai network"
17974,"PT Telekomunikasi Indonesia"
18403,"The Corporation for Financing & Promoting Technology"
23951,"PT JEMBATAN CITRA NUSANTARA"
24186,"RailTel Corporation of India Ltd., Internet Service Provider, New Delhi"
24432,"TM International Bangladesh Ltd."
28573,"CLARO S.A."
36874,"Cybersmart"
45429,"CAMBODIAN SINGMENG TELEMEDIA CO., LTD"
45899,"VNPT Corp"
56044,"China Mobile communications corporation"
57844,"SPDNet Telekomunikasyon Hizmetleri Bilgi Teknolojileri Taahhut Sanayi Ve Ticaret A.S."
197706,"Keminet SHPK"
