ASN,Entity
174,"COGENT-174"
1442,"ASNSISL"
2639,"ZOHO-AS"
3210,"Secure Data Systems SRL"
3223,"Voxility LLP"
3561,"CENTURYLINK-LEGACY-SAVVIS"
3700,"CLOUD9"
3722,"UNKNOWN"
3842,"RAMNODE"
4250,"ALENT-ASN-1"
4323,"UNKNOWN"
4694,"IDC Frontier Inc."
4755,"TATA Communications formerly VSNL is Leading ISP"
4851,"Host Networks"
5041,"UNKNOWN"
5577,"root SA"
6188,"VPSDATACENTER"
6295,"GREENHOUSE-WA"
6364,"ATLANTIC-NET-1"
6428,"CDM"
6718,"Nav Communications Srl"
6724,"Strato AG"
6870,"RECONN LLC"
6939,"HURRICANE"
7203,"LEASEWEB-USA-SFO-12"
7349,"AS-TIERP-7349"
7489,"HostUS"
7506,"GMO Internet,Inc"
7595,"Readyspace Cloud Services"
7598,"Forcepoint Cloud Services - AsiaPac region"
7850,"CITYLINKFIBER"
7979,"SERVERS"
8100,"ASN-QUADRANET-GLOBAL"
8455,"Schuberg Philis B.V."
8477,"Echostar Studio Sp. z o.o."
8556,"Levantis Hosting GmbH"
8560,"1&1 Ionos Se"
8972,"Host Europe GmbH"
9009,"M247 Ltd"
9166,"Cegeka NV"
9290,"GoHosting"
9370,"SAKURA Internet Inc."
9405,"Test platform Service Center"
9412,"5G NETWORK OPERATIONS PTY LTD"
9667,"5G NETWORK OPERATIONS PTY LTD"
9823,"Education Web Hosting"
9925,"Powerbase DataCenter Services (HK) Ltd."
10200,"Web hosting provider and ISP connectivity."
10207,"Intervolve Pty Ltd"
10297,"ENET-2"
10439,"CARINET"
10532,"RACKSPACE"
10765,"CLOUDNET-AS"
10908,"CLOUDFLOORAS"
10929,"NETELLIGENT"
11230,"MHSFL"
11235,"ITRONHOSTINGAS"
11274,"ADHOST"
11282,"SERVERYOU"
11588,"HIGHWINDS"
11831,"ESECUREDATA"
11878,"TZULO"
12586,"GHOSTnet GmbH"
12617,"Sentia Denmark A/S"
12816,"Leibniz-Rechenzentrum"
12824,"home.pl S.A."
12876,"Online S.a.s."
